Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
robot-shop1,N/A,ratings,0.0006197258713137248,81854464,0,0,N/A,N/A,17:01:08
observability,N/A,tempo-query,0.00010558825105756865,50769920,N/A,N/A,N/A,N/A,17:01:08
platform,N/A,N/A,0.00010811134372936944,33677312,N/A,N/A,935.5068772287316,672.6099507556461,17:01:08
default,N/A,N/A,0,14057472,N/A,N/A,N/A,N/A,17:01:08
kube-system,N/A,N/A,0.0003828598926428791,57221120,0,0,N/A,N/A,17:01:08
platform,N/A,N/A,0.00010811134372936944,33677312,N/A,N/A,935.5068772287316,672.6099507556461,17:01:08
kube-system,N/A,N/A,0.0003828598926428791,57221120,0,0,N/A,N/A,17:01:08
chaos-testing,N/A,N/A,0.13174492863027565,66797568,N/A,N/A,N/A,N/A,17:01:08
robot-shop1,N/A,N/A,0,36139008,N/A,N/A,0,N/A,17:02:09
platform,N/A,N/A,0,31055872,N/A,N/A,N/A,N/A,17:02:09
robot-shop1,N/A,N/A,0,36139008,N/A,N/A,0,N/A,17:02:09
kube-system,N/A,N/A,0.013179848803808956,57225216,N/A,N/A,N/A,N/A,17:02:09
observability,N/A,alertmanager,0.00007995659079095674,41299968,0,0,N/A,N/A,17:05:10
kube-system,N/A,calico-kube-controllers,0.0076047812817906305,56881152,0,0,N/A,N/A,17:05:10
kube-system,N/A,calico-node,0.05463842823122608,138133504,0,0,N/A,N/A,17:05:10
robot-shop1,N/A,cart,0.0005827000000000026,72032256,0,0,N/A,N/A,17:05:10
robot-shop1,N/A,catalogue,0.0007439503044163374,35463168,0,0,N/A,N/A,17:05:10
